Rank,Location,Population,% of World,Date
118,Palestine,5483450.00,0.07%,01-Jan-23
119,Slovakia,5421272.00,0.07%,30-Sep-24
120,Ireland,5380300.00,0.07%,01-Apr-24
121,New Zealand,5348600.00,0.07%,30-Sep-24
122,Costa Rica,5309625.00,0.07%,30-Jun-24
125,Oman,5259612.00,0.06%,30-Nov-24
124,Liberia,5248621.00,0.06%,10-Nov-22
125,Mauritania,4927532.00,0.06%,25-Dec-23
126,Kuwait,4913271.00,0.06%,01-Jan-24
127,Panama,4064780.00,0.05%,08-Jan-23
128,Croatia,3859686.00,0.05%,01-Jul-23
129,Georgia,3694600.00,0.05%,01-Jan-24
130,Eritrea,3535603.00,0.04%,01-Jul-24
131,Mongolia,3504741.00,0.04%,31-Dec-23
132,Uruguay,3444263.00,0.04%,27-Nov-23
133,Bosnia and Herzegovina,3264873.00,0.04%,01-Jul-23
–,Puerto Rico (US),3203295.00,0.04%,01-Jul-24
134,Armenia,3067400.00,0.04%,01-Jan-24
135,Namibia,3022401.00,0.04%,24-Sep-23
136,Lithuania,2897430.00,0.04%,01-Jan-25
137,Qatar,2857822.00,0.04%,30-Jun-24
138,Jamaica,2825544.00,0.03%,01-Jul-19
139,Moldova,2423300.00,0.03%,01-Jan-24
140,Gambia,2417471.00,0.03%,01-Jul-22
141,Botswana,2410338.00,0.03%,01-Jul-21
142,Gabon,2408586.00,0.03%,01-Jul-24
143,Albania,2402113.00,0.03%,18-Sep-23
144,Lesotho,2306000.00,0.03%,01-Jul-23
145,Slovenia,2126324.00,0.03%,01-Jul-24
146,Latvia,1854900.00,0.02%,01-Nov-24
147,North Macedonia,1826247.00,0.02%,31-Dec-23
148,Guinea-Bissau,1781308.00,0.02%,01-Jul-23
149,Bahrain,1588670.00,0.02%,01-Jul-24
–,Kosovo,1585566.00,0.02%,04-Apr-24
150,Equatorial Guinea,1558160.00,0.02%,01-Jul-22
151,Estonia,1374687.00,0.02%,01-Jan-24
152,East Timor,1373024.00,0.02%,01-Jul-24
153,Trinidad and Tobago,1368333.00,0.02%,30-Jun-24
154,Mauritius,1259509.00,0.02%,01-Jul-24
155,Eswatini,1235549.00,0.02%,01-Jul-24
156,Djibouti,1066809.00,0.01%,20-May-24
157,Cyprus,918100.00,0.01%,01-Oct-21
158,Fiji,900869.00,0.01%,01-Jan-25
159,Comoros,900141.00,0.01%,2024
160,Bhutan,777224.00,0.01%,2024
161,Guyana,772975.00,0.01%,01-Jul-21
162,Solomon Islands,750325.00,0.01%,01-Jul-24
–,Macau (China),686600.00,0.01%,30-Sep-24
163,Luxembourg,672050.00,0.01%,01-Jan-24
164,Montenegro,623633.00,0.01%,31-Oct-23
165,Suriname,616500.00,0.01%,01-Jul-21
–,Western Sahara,590506.00,0.01%,01-Jul-24
166,Malta,542051.00,0.01%,31-Dec-22
167,Maldives,515132.00,0.01%,13-Sep-22
168,Cape Verde,491233.00,0.01%,16-Jun-21
–,Northern Cyprus,476214.00,0.01%,31-Dec-23
169,Brunei,450500.00,0.01%,01-Jul-23
170,Belize,410919.00,0.01%,01-Jul-24
171,Bahamas,398165.00,0.01%,04-Apr-22
172,Iceland,388790.00,0.01%,01-Oct-24
–,Transnistria,360938.00,0.00%,31-Dec-22
173,Vanuatu,321409.00,0.00%,01-Jul-24
–,French Polynesia (France),279890.00,0.00%,01-Jul-21
–,New Caledonia (France),268510.00,0.00%,01-Jan-23
174,Barbados,267800.00,0.00%,31-Dec-22
–,Abkhazia,244236.00,0.00%,01-Jan-22
175,São Tomé and Príncipe,228319.00,0.00%,01-Jul-24
176,Samoa,205557.00,0.00%,06-Nov-21
177,Saint Lucia,184100.00,0.00%,01-Jul-23
–,Curaçao (Netherlands),155826.00,0.00%,02-Sep-23
–,Guam (US),153836.00,0.00%,01-Apr-20
178,Seychelles,121355.00,0.00%,30-Jun-24
179,Kiribati,120740.00,0.00%,01-Jul-21
180,Grenada,112579.00,0.00%,01-Jul-19
181,Saint Vincent and the Grenadines,110872.00,0.00%,01-Jul-22
–,Aruba (Netherlands),107566.00,0.00%,31-Dec-23
182,Micronesia,105754.00,0.00%,01-Jul-21
183,Antigua and Barbuda,103603.00,0.00%,01-Jan-24
–,Jersey (UK),103267.00,0.00%,21-Mar-21
184,Tonga,100179.00,0.00%,01-Jan-22
–,U.S. Virgin Islands (US),87146.00,0.00%,01-Apr-20
185,Andorra,86931.00,0.00%,30-Nov-24
